,Unnamed: 0,Unnamed: 0.1,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label,sensor_status
0,1,3,12/15/2014 01:45:00 AM,0013a20040b5b318,1,502,21.3,21.3,21.3,97.4,97.4,97.4,45.3,45.3,45.3,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141215014500,,1,
1,2,8,12/15/2014 01:55:00 AM,0013a20040b5b318,1,502,21.6,21.6,21.6,97.4,97.4,97.4,45.3,45.3,45.3,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141215015500,,1,
2,3,289,12/16/2014 03:10:00 AM,0013a20040b5b318,1,502,32.6,32.6,32.6,97.8,97.8,97.8,12.8,12.8,12.8,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216031000,,1,
3,4,305,12/16/2014 03:40:00 AM,0013a20040b5b318,1,502,30.0,30.0,30.0,94.5,94.5,94.5,11.1,11.1,11.1,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216034000,,1,
4,5,323,12/16/2014 04:35:00 AM,0013a20040b5b318,1,502,30.0,30.0,30.0,95.1,95.1,95.1,11.2,11.2,11.2,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216043500,,1,
5,6,331,12/16/2014 04:45:00 AM,0013a20040b5b318,1,502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216044500,,1,
6,7,338,12/16/2014 04:55:00 AM,0013a20040b5b318,1,502,29.4,29.4,29.4,93.1,93.1,93.1,11.4,11.4,11.4,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216045500,,1,ON
7,8,344,12/16/2014 05:05:00 AM,0013a20040b5b318,1,502,28.7,28.7,28.7,96.6,96.6,96.6,11.2,11.2,11.2,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216050500,,1,ON
8,9,351,12/16/2014 05:15:00 AM,0013a20040b5b318,1,502,28.4,28.4,28.4,93.3,93.3,93.3,10.9,10.9,10.9,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216051500,,1,ON
9,10,358,12/16/2014 05:25:00 AM,0013a20040b5b318,1,502,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8146097,144.9790177,22.57,Fitzroy Gardens,502-20141216052500,,1,
