,Unnamed: 0,Unnamed: 0.1,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label,sensor_status
0,1,2,12/15/2014 01:45:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.8,44.8,44.8,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215014500,,1,
1,2,7,12/15/2014 01:55:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.5,44.5,44.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215015500,,1,
2,3,291,12/16/2014 03:15:00 AM,0013a20040b516f6,1,507,32.3,32.3,32.3,95.2,95.2,95.2,10.9,10.9,10.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216031500,,1,
3,4,300,12/16/2014 03:35:00 AM,0013a20040b516f6,1,507,30.6,30.6,30.6,95.2,95.2,95.2,11.9,11.9,11.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216033500,,1,ON
4,5,307,12/16/2014 03:45:00 AM,0013a20040b516f6,1,507,31.3,31.3,31.3,97.4,97.4,97.4,13.0,13.0,13.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216034500,,1,ON
5,6,325,12/16/2014 04:35:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216043500,,1,
6,7,333,12/16/2014 04:45:00 AM,0013a20040b516f6,1,507,29.7,29.7,29.7,93.8,93.8,93.8,10.5,10.5,10.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216044500,,1,ON
7,8,340,12/16/2014 04:55:00 AM,0013a20040b516f6,1,507,29.4,29.4,29.4,92.7,92.7,92.7,10.1,10.1,10.1,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216045500,,1,ON
8,9,346,12/16/2014 05:05:00 AM,0013a20040b516f6,1,507,29.4,29.4,29.4,94.6,94.6,94.6,10.1,10.1,10.1,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216050500,,1,ON
9,10,353,12/16/2014 05:15:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216051500,,1,
10,11,360,12/16/2014 05:25:00 AM,0013a20040b516f6,1,507,28.1,28.1,28.1,91.2,91.2,91.2,10.9,10.9,10.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216052500,,1,ON
11,12,368,12/16/2014 05:35:00 AM,0013a20040b516f6,1,507,27.7,27.7,27.7,89.1,89.1,89.1,11.2,11.2,11.2,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216053500,,1,ON
12,13,375,12/16/2014 05:50:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216055000,,1,
13,14,383,12/16/2014 06:00:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,96.7,96.7,96.7,38.4,38.4,38.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216060000,,1,ON
14,15,390,12/16/2014 06:10:00 AM,0013a20040b516f6,1,507,21.0,21.0,21.0,95.2,95.2,95.2,39.5,39.5,39.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216061000,,1,ON
15,16,397,12/16/2014 06:20:00 AM,0013a20040b516f6,1,507,20.6,20.6,20.6,93.4,93.4,93.4,42.3,42.3,42.3,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216062000,,1,ON
16,17,404,12/16/2014 06:30:00 AM,0013a20040b516f6,1,507,19.7,19.7,19.7,93.7,93.7,93.7,43.6,43.6,43.6,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216063000,,1,ON
17,18,411,12/16/2014 06:40:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216064000,,1,
18,19,419,12/16/2014 06:50:00 AM,0013a20040b516f6,1,507,20.0,20.0,20.0,94.7,94.7,94.7,34.6,34.6,34.6,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216065000,,1,ON
19,20,427,12/16/2014 07:00:00 AM,0013a20040b516f6,1,507,21.0,21.0,21.0,93.8,93.8,93.8,34.6,34.6,34.6,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216070000,,1,ON
20,21,434,12/16/2014 07:10:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216071000,,1,
21,22,442,12/16/2014 07:20:00 AM,0013a20040b516f6,1,507,18.7,18.7,18.7,93.5,93.5,93.5,41.7,41.7,41.7,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216072000,,1,ON
22,23,450,12/16/2014 07:30:00 AM,0013a20040b516f6,1,507,18.4,18.4,18.4,87.3,87.3,87.3,36.3,36.3,36.3,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216073000,,1,ON
23,24,457,12/16/2014 07:40:00 AM,0013a20040b516f6,1,507,18.4,18.4,18.4,91.6,91.6,91.6,35.4,35.4,35.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216074000,,1,ON
24,25,464,12/16/2014 07:50:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216075000,,1,
25,26,471,12/16/2014 08:00:00 AM,0013a20040b516f6,1,507,16.5,16.5,16.5,88.3,88.3,88.3,39.2,39.2,39.2,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216080000,,1,ON
26,27,479,12/16/2014 08:10:00 AM,0013a20040b516f6,1,507,16.5,16.5,16.5,85.7,85.7,85.7,40.4,40.4,40.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216081000,,1,ON
27,28,485,12/16/2014 08:20:00 AM,0013a20040b516f6,1,507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216082000,,1,
