,Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
1,11,12/15/2014 03:55:00 AM,0013a20040b3155c,1,506,23.5,23.5,23.5,94.8,94.8,94.8,44.5,44.5,44.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215035500,,0
2,15,12/15/2014 04:05:00 AM,0013a20040b3155c,1,506,24.5,24.5,24.5,98.2,98.2,98.2,44.5,44.5,44.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215040500,,0
3,26,12/15/2014 05:55:00 AM,0013a20040b3155c,1,506,21.0,21.0,21.0,93.6,93.6,93.6,53.3,53.3,53.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215055500,,0
4,28,12/15/2014 06:05:00 AM,0013a20040b3155c,1,506,20.6,20.6,20.6,94.0,94.0,94.0,52.1,52.1,52.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215060500,,0
5,31,12/15/2014 06:15:00 AM,0013a20040b3155c,1,506,23.2,23.2,23.2,96.5,96.5,96.5,45.0,45.0,45.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215061500,,0
6,34,12/15/2014 06:35:00 AM,0013a20040b3155c,1,506,24.5,24.5,24.5,98.0,98.0,98.0,40.9,40.9,40.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215063500,,0
7,41,12/15/2014 07:20:00 AM,0013a20040b3155c,1,506,21.9,21.9,21.9,96.7,96.7,96.7,46.1,46.1,46.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215072000,,0
8,43,12/15/2014 07:30:00 AM,0013a20040b3155c,1,506,21.3,21.3,21.3,94.6,94.6,94.6,46.9,46.9,46.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215073000,,0
9,48,12/15/2014 07:50:00 AM,0013a20040b3155c,1,506,22.3,22.3,22.3,98.1,98.1,98.1,48.1,48.1,48.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215075000,,0
10,50,12/15/2014 08:00:00 AM,0013a20040b3155c,1,506,21.9,21.9,21.9,97.4,97.4,97.4,45.9,45.9,45.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215080000,,0
11,53,12/15/2014 08:10:00 AM,0013a20040b3155c,1,506,21.6,21.6,21.6,98.1,98.1,98.1,46.4,46.4,46.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215081000,,0
12,55,12/15/2014 08:20:00 AM,0013a20040b3155c,1,506,21.6,21.6,21.6,97.9,97.9,97.9,47.2,47.2,47.2,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215082000,,0
13,57,12/15/2014 08:30:00 AM,0013a20040b3155c,1,506,19.0,19.0,19.0,92.9,92.9,92.9,53.8,53.8,53.8,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215083000,,0
14,58,12/15/2014 08:40:00 AM,0013a20040b3155c,1,506,18.4,18.4,18.4,92.0,92.0,92.0,57.4,57.4,57.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215084000,,0
15,61,12/15/2014 09:00:00 AM,0013a20040b3155c,1,506,18.1,18.1,18.1,88.3,88.3,88.3,59.3,59.3,59.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215090000,,0
16,63,12/15/2014 09:10:00 AM,0013a20040b3155c,1,506,17.7,17.7,17.7,78.7,78.7,78.7,60.9,60.9,60.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215091000,,0
17,66,12/15/2014 09:20:00 AM,0013a20040b3155c,1,506,17.4,17.4,17.4,64.9,64.9,64.9,60.9,60.9,60.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215092000,,0
18,70,12/15/2014 09:40:00 AM,0013a20040b3155c,1,506,17.4,17.4,17.4,43.4,43.4,43.4,62.2,62.2,62.2,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215094000,,0
19,73,12/15/2014 10:05:00 AM,0013a20040b3155c,1,506,17.4,17.4,17.4,9.7,9.7,9.7,61.5,61.5,61.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215100500,,0
20,76,12/15/2014 10:25:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.4,7.4,7.4,62.8,62.8,62.8,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215102500,,0
21,79,12/15/2014 10:35:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.7,7.7,7.7,63.0,63.0,63.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215103500,,0
22,81,12/15/2014 10:45:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.2,7.2,7.2,62.3,62.3,62.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215104500,,0
23,83,12/15/2014 10:55:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.3,7.3,7.3,62.8,62.8,62.8,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215105500,,0
24,85,12/15/2014 11:05:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.0,7.0,7.0,63.0,63.0,63.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215110500,,0
25,90,12/15/2014 11:25:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.4,7.4,7.4,63.4,63.4,63.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215112500,,0
26,92,12/15/2014 11:35:00 AM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.1,7.1,7.1,64.1,64.1,64.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215113500,,0
27,95,12/15/2014 11:45:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.8,7.8,7.8,63.9,63.9,63.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215114500,,0
28,97,12/15/2014 11:55:00 AM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.1,7.1,7.1,63.4,63.4,63.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215115500,,0
29,100,12/15/2014 12:05:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.0,7.0,7.0,64.4,64.4,64.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215120500,,0
30,102,12/15/2014 12:15:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.1,7.1,7.1,64.4,64.4,64.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215121500,,0
31,104,12/15/2014 12:25:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.3,7.3,7.3,64.9,64.9,64.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215122500,,0
32,107,12/15/2014 12:35:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.4,7.4,7.4,64.4,64.4,64.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215123500,,0
33,110,12/15/2014 12:45:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.1,7.1,7.1,64.4,64.4,64.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215124500,,0
34,113,12/15/2014 12:55:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.4,7.4,7.4,64.1,64.1,64.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215125500,,0
35,116,12/15/2014 01:05:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.4,7.4,7.4,64.7,64.7,64.7,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215130500,,0
36,119,12/15/2014 01:20:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.5,7.5,7.5,64.5,64.5,64.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215132000,,0
37,121,12/15/2014 01:30:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.1,7.1,7.1,64.4,64.4,64.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215133000,,0
38,123,12/15/2014 01:40:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.2,7.2,7.2,65.2,65.2,65.2,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215134000,,0
39,128,12/15/2014 02:00:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.1,7.1,7.1,65.2,65.2,65.2,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215140000,,0
40,132,12/15/2014 02:20:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.3,7.3,7.3,66.1,66.1,66.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215142000,,0
41,135,12/15/2014 02:30:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.1,7.1,7.1,66.1,66.1,66.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215143000,,0
42,138,12/15/2014 02:40:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,7.3,7.3,7.3,66.9,66.9,66.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215144000,,0
43,141,12/15/2014 02:50:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.2,7.2,7.2,66.4,66.4,66.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215145000,,0
44,144,12/15/2014 03:00:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.2,7.2,7.2,66.7,66.7,66.7,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215150000,,0
45,151,12/15/2014 03:30:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.0,7.0,7.0,66.9,66.9,66.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215153000,,0
46,154,12/15/2014 03:40:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.1,7.1,7.1,66.4,66.4,66.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215154000,,0
47,157,12/15/2014 03:50:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,6.9,6.9,6.9,65.8,65.8,65.8,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215155000,,0
48,161,12/15/2014 04:10:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,7.0,7.0,7.0,66.7,66.7,66.7,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215161000,,0
49,164,12/15/2014 04:20:00 PM,0013a20040b3155c,1,506,17.4,17.4,17.4,6.9,6.9,6.9,65.6,65.6,65.6,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215162000,,0
50,171,12/15/2014 04:55:00 PM,0013a20040b3155c,1,506,17.1,17.1,17.1,6.8,6.8,6.8,66.3,66.3,66.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215165500,,0
51,174,12/15/2014 05:05:00 PM,0013a20040b3155c,1,506,16.8,16.8,16.8,6.8,6.8,6.8,64.7,64.7,64.7,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215170500,,0
52,177,12/15/2014 05:15:00 PM,0013a20040b3155c,1,506,16.5,16.5,16.5,6.9,6.9,6.9,64.9,64.9,64.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215171500,,0
53,182,12/15/2014 05:35:00 PM,0013a20040b3155c,1,506,16.1,16.1,16.1,6.7,6.7,6.7,66.3,66.3,66.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215173500,,0
54,185,12/15/2014 05:45:00 PM,0013a20040b3155c,1,506,16.1,16.1,16.1,6.8,6.8,6.8,67.2,67.2,67.2,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215174500,,0
55,188,12/15/2014 05:55:00 PM,0013a20040b3155c,1,506,15.8,15.8,15.8,6.8,6.8,6.8,67.1,67.1,67.1,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215175500,,0
56,192,12/15/2014 06:15:00 PM,0013a20040b3155c,1,506,15.8,15.8,15.8,7.4,7.4,7.4,68.0,68.0,68.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215181500,,0
57,194,12/15/2014 06:25:00 PM,0013a20040b3155c,1,506,15.8,15.8,15.8,9.9,9.9,9.9,68.0,68.0,68.0,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215182500,,0
58,197,12/15/2014 06:35:00 PM,0013a20040b3155c,1,506,15.5,15.5,15.5,22.7,22.7,22.7,68.9,68.9,68.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215183500,,0
59,199,12/15/2014 06:45:00 PM,0013a20040b3155c,1,506,15.8,15.8,15.8,48.8,48.8,48.8,68.9,68.9,68.9,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215184500,,0
60,204,12/15/2014 07:15:00 PM,0013a20040b3155c,1,506,15.8,15.8,15.8,83.4,83.4,83.4,68.8,68.8,68.8,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215191500,,0
61,206,12/15/2014 07:25:00 PM,0013a20040b3155c,1,506,16.1,16.1,16.1,86.0,86.0,86.0,67.5,67.5,67.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215192500,,0
62,209,12/15/2014 07:50:00 PM,0013a20040b3155c,1,506,16.8,16.8,16.8,88.9,88.9,88.9,66.6,66.6,66.6,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215195000,,0
63,212,12/15/2014 08:10:00 PM,0013a20040b3155c,1,506,19.7,19.7,19.7,92.5,92.5,92.5,58.4,58.4,58.4,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215201000,,0
64,219,12/15/2014 09:00:00 PM,0013a20040b3155c,1,506,23.9,23.9,23.9,95.5,95.5,95.5,51.3,51.3,51.3,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215210000,,0
65,221,12/15/2014 09:10:00 PM,0013a20040b3155c,1,506,23.9,23.9,23.9,95.3,95.3,95.3,50.5,50.5,50.5,ENV,-37.8203537,144.9404816,,Docklands Library,506-20141215211000,,0
