,Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
1,12,12/15/2014 03:55:00 AM,0013a20040b5b337,1,511,23.5,23.5,23.5,96.3,96.3,96.3,43.1,43.1,43.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215035500,,0
2,16,12/15/2014 04:05:00 AM,0013a20040b5b337,1,511,22.9,22.9,22.9,98.0,98.0,98.0,42.9,42.9,42.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215040500,,0
3,21,12/15/2014 04:55:00 AM,0013a20040b5b337,1,511,22.6,22.6,22.6,97.8,97.8,97.8,45.9,45.9,45.9,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215045500,,0
4,23,12/15/2014 05:40:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,95.7,95.7,95.7,48.1,48.1,48.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215054000,,0
5,25,12/15/2014 05:50:00 AM,0013a20040b5b337,1,511,21.0,21.0,21.0,95.6,95.6,95.6,49.4,49.4,49.4,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215055000,,0
6,29,12/15/2014 06:10:00 AM,0013a20040b5b337,1,511,21.3,21.3,21.3,96.8,96.8,96.8,48.5,48.5,48.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215061000,,0
7,35,12/15/2014 06:40:00 AM,0013a20040b5b337,1,511,25.5,25.5,25.5,98.7,98.7,98.7,39.0,39.0,39.0,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215064000,,0
8,36,12/15/2014 06:50:00 AM,0013a20040b5b337,1,511,24.5,24.5,24.5,98.1,98.1,98.1,39.8,39.8,39.8,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215065000,,0
9,38,12/15/2014 07:00:00 AM,0013a20040b5b337,1,511,23.9,23.9,23.9,98.4,98.4,98.4,41.5,41.5,41.5,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215070000,,0
10,44,12/15/2014 07:30:00 AM,0013a20040b5b337,1,511,21.0,21.0,21.0,96.4,96.4,96.4,46.1,46.1,46.1,ENV,-37.8195002,144.94188880000004,,Docklands Library,511-20141215073000,,0
